trade_date,symbol,minute_row_count,same_bar_violation_count,path_cutoff_violation_count,lineage_monotonic_violation_count,event_visibility_violation_count,warmup_nonnull_violation_count
20251118,688523,60,0,0,0,0,0
20251126,300045,60,0,0,0,0,0
20251216,688523,60,0,0,0,0,0
20251217,688066,60,0,0,0,0,0
20251219,688523,60,0,0,0,0,0
20260113,000738,60,0,0,0,0,0
20260113,601698,60,0,0,0,0,0
20260115,300045,60,0,0,0,0,0
20260115,601698,60,0,0,0,0,0
20260115,688066,60,0,0,0,0,0
20260116,688066,60,0,0,0,0,0
20260120,300342,60,0,0,0,0,0
20260120,688066,60,0,0,0,0,0
20260120,688523,60,0,0,0,0,0
20260126,300045,60,0,0,0,0,0
20260126,300342,60,0,0,0,0,0
20260126,688066,60,0,0,0,0,0
20260126,688523,60,0,0,0,0,0
20260128,300342,60,0,0,0,0,0
20260303,300342,60,0,0,0,0,0
20260303,601698,60,0,0,0,0,0
20260401,300342,60,0,0,0,0,0
20260401,688523,60,0,0,0,0,0
20260403,688066,60,0,0,0,0,0
