candidate_name,signal_trade_date,execution_trade_date,symbol,action,signal_score,signal_score_field,held_qty_on_signal_close,held_close_price_on_signal_date,quantity,execution_price,notional,commission,stamp_tax,slippage,total_cost,expectancy_proxy_3d,max_adverse_return_3d,execution_mode,overlay_scope
cooled_q_0p25,2023-09-22,2023-09-25,300308,buy,2377449073.137061,abs_visible_pc1_score_1030,900,111.08,400,111.08,44432.0,13.3296,0.0,22.216,35.5456,0.011433,-0.038531,signal_on_t_close_execute_on_t_plus_1_open,held_position_only_do_not_override_baseline_sell
cooled_q_0p25,2023-09-22,2023-09-25,300502,buy,2390968686.829432,abs_visible_pc1_score_1030,1100,44.64,500,44.05,22025.0,6.6075,0.0,11.0125,17.62,0.014756,-0.036322,signal_on_t_close_execute_on_t_plus_1_open,held_position_only_do_not_override_baseline_sell
cooled_q_0p25,2023-12-08,2023-12-11,300308,buy,1971542765.188754,abs_visible_pc1_score_1030,900,117.5,400,117.24,46896.0,14.0688,0.0,23.448,37.5168,-0.05928,-0.044695,signal_on_t_close_execute_on_t_plus_1_open,held_position_only_do_not_override_baseline_sell
cooled_q_0p25,2023-12-08,2023-12-11,300502,buy,2344101436.216928,abs_visible_pc1_score_1030,1100,54.2,500,53.0,26500.0,7.95,0.0,13.25,21.2,-0.028585,-0.040377,signal_on_t_close_execute_on_t_plus_1_open,held_position_only_do_not_override_baseline_sell
cooled_q_0p25,2024-01-18,2024-01-19,300308,buy,2146708342.172604,abs_visible_pc1_score_1030,900,109.83,400,112.3,44920.0,13.476,0.0,22.46,35.936,0.020214,-0.017008,signal_on_t_close_execute_on_t_plus_1_open,held_position_only_do_not_override_baseline_sell
cooled_q_0p25,2024-01-18,2024-01-19,300502,buy,1804796632.388829,abs_visible_pc1_score_1030,1350,52.54,600,52.09,31254.0,9.3762,0.0,15.627,25.0032,0.064312,-0.021501,signal_on_t_close_execute_on_t_plus_1_open,held_position_only_do_not_override_baseline_sell
cooled_q_0p25,2024-02-06,2024-02-07,300308,buy,1762262299.877264,abs_visible_pc1_score_1030,900,124.88,400,123.1,49240.0,14.772,0.0,24.62,39.392,0.34476,-0.012266,signal_on_t_close_execute_on_t_plus_1_open,held_position_only_do_not_override_baseline_sell
cooled_q_0p25,2024-02-06,2024-02-07,300502,buy,2153774191.772055,abs_visible_pc1_score_1030,1350,51.8,600,51.29,30774.0,9.2322,0.0,15.387,24.6192,0.419088,-0.007604,signal_on_t_close_execute_on_t_plus_1_open,held_position_only_do_not_override_baseline_sell
cooling_reacceleration_controlled,2023-06-14,2023-06-15,300308,buy,1189794000.0,controlled_score,900,129.55,400,133.9,53560.0,16.068,0.0,26.78,42.848,0.296191,-0.01419,signal_on_t_close_execute_on_t_plus_1_open,held_position_only_do_not_override_baseline_sell
cooling_reacceleration_controlled,2023-06-14,2023-06-15,300502,buy,1374609000.0,controlled_score,1100,65.8,500,67.13,33565.0,10.0695,0.0,16.7825,26.852,0.196261,-0.07478,signal_on_t_close_execute_on_t_plus_1_open,held_position_only_do_not_override_baseline_sell
cooling_reacceleration_controlled,2023-09-22,2023-09-25,300308,buy,535264000.0,controlled_score,900,111.08,400,111.08,44432.0,13.3296,0.0,22.216,35.5456,0.011433,-0.038531,signal_on_t_close_execute_on_t_plus_1_open,held_position_only_do_not_override_baseline_sell
cooling_reacceleration_controlled,2023-12-08,2023-12-11,300308,buy,931228000.0,controlled_score,900,117.5,400,117.24,46896.0,14.0688,0.0,23.448,37.5168,-0.05928,-0.044695,signal_on_t_close_execute_on_t_plus_1_open,held_position_only_do_not_override_baseline_sell
cooling_reacceleration_controlled,2023-12-08,2023-12-11,300502,buy,1146257000.0,controlled_score,1100,54.2,500,53.0,26500.0,7.95,0.0,13.25,21.2,-0.028585,-0.040377,signal_on_t_close_execute_on_t_plus_1_open,held_position_only_do_not_override_baseline_sell
cooling_reacceleration_controlled,2024-02-05,2024-02-06,300308,buy,1445618000.0,controlled_score,900,112.0,400,110.66,44264.0,13.2792,0.0,22.132,35.4112,0.258901,-0.007772,signal_on_t_close_execute_on_t_plus_1_open,held_position_only_do_not_override_baseline_sell
