execution_trade_date,symbol,phase_window_semantic,severity_tier,filled_step_count,remaining_quantity_after_sim,pnl_after_cost,same_day_loss_avoided
20251118,688523,preheat_window,mild_override_watch,1,350,-508.86,-244.6325
20251217,688066,preheat_window,mild_override_watch,1,1150,-1675.9617,-241.0653
20260113,000738,impulse_window,reversal_watch,2,0,-6945.276,938.308
20260113,601698,impulse_window,severe_override_positive,1,0,-8300.4576,447.1936
20260126,300045,impulse_window,reversal_watch,1,1200,-1923.6336,862.4448
20260126,300342,impulse_window,severe_override_positive,2,0,-5727.1452,1970.4468
