trade_date,month_bucket,symbol,is_seed_session,target_label,predicted_label,board_lockout_active,open_to_5m,open_to_15m,open_to_60m,close_loc_15m
20251103,2025-11,000738,False,none,allowed_preheat_probe_add,False,0.0,-0.00587293,-0.00533903,0.0
20251103,2025-11,002085,False,none,allowed_preheat_probe_add,False,-0.00988947,-0.01454334,0.00814427,0.11764706
20251103,2025-11,002465,False,none,allowed_preheat_probe_add,False,-0.00255537,-0.0076661,-0.0076661,0.08333333
20251103,2025-11,003009,False,none,allowed_preheat_probe_add,False,-0.004536,-0.00661501,0.02286902,0.27118644
20251103,2025-11,300045,False,none,allowed_preheat_full_add,False,0.0017094,0.00555556,0.02350427,0.6969697
20251103,2025-11,300342,False,none,allowed_preheat_probe_add,False,-0.00650759,0.0005423,0.0037961,0.61290323
20251103,2025-11,600118,False,none,allowed_preheat_probe_add,False,-0.00814711,-0.00558659,0.01629423,0.46280992
20251103,2025-11,600879,False,none,allowed_preheat_probe_add,False,-0.00912409,-0.01094891,-0.00638686,0.16666667
20251103,2025-11,601698,False,none,allowed_preheat_probe_add,False,-0.00323176,-0.00923361,0.00323176,0.0
20251103,2025-11,688568,False,none,allowed_preheat_probe_add,False,-0.01272016,-0.00905088,-0.02030333,0.25352113
20251104,2025-11,000738,False,none,allowed_preheat_probe_add,False,-0.0005339,-0.00160171,-0.00533903,0.33333333
20251104,2025-11,002085,False,none,allowed_preheat_probe_add,False,-0.00350058,-0.00175029,-0.01050175,0.6
20251104,2025-11,002465,False,none,allowed_preheat_probe_add,False,-0.00084602,-0.00169205,-0.01184433,0.33333333
20251104,2025-11,003009,False,none,allowed_preheat_probe_add,False,0.00331187,-0.00331187,-0.01103956,0.37878788
20251104,2025-11,300342,False,none,allowed_preheat_probe_add,False,0.00320171,-0.00160085,-0.0090715,0.1
20251104,2025-11,600118,False,none,allowed_preheat_probe_add,False,0.00431818,-0.00181818,-0.01954545,0.3963964
20251104,2025-11,600879,False,none,allowed_preheat_probe_add,False,-0.00358744,-0.01255605,-0.0206278,0.16666667
20251104,2025-11,601698,False,none,allowed_preheat_probe_add,False,0.01361779,0.00635497,-0.00817068,0.41176471
20251104,2025-11,688066,False,none,allowed_preheat_probe_add,False,0.00738255,-0.00302013,-0.01879195,0.19230769
20251104,2025-11,688523,False,none,allowed_preheat_probe_add,False,0.01085271,0.00620155,-0.00620155,0.47692308
20251104,2025-11,688568,False,none,allowed_preheat_probe_add,False,-0.01217089,-0.00695479,-0.01738698,0.54098361
20251105,2025-11,000738,False,none,allowed_preheat_probe_add,False,0.00216216,0.00162162,0.00216216,0.58333333
20251105,2025-11,002085,False,none,allowed_preheat_probe_add,False,0.00300842,0.00421179,-0.00120337,0.64285714
20251105,2025-11,002465,False,none,allowed_preheat_full_add,False,0.00260643,0.00608167,0.0086881,0.84615385
20251105,2025-11,003009,False,none,allowed_preheat_full_add,False,0.01041075,0.01362862,0.00984289,0.77669903
20251105,2025-11,300045,False,none,allowed_preheat_full_add,False,0.03508772,0.03114035,0.05,0.71717172
20251105,2025-11,300342,False,none,allowed_preheat_full_add,False,0.0076087,0.01521739,0.01847826,0.76595745
20251105,2025-11,600118,False,none,allowed_preheat_full_add,False,0.0214951,0.02579412,0.03224266,0.77142857
20251105,2025-11,600879,False,none,allowed_preheat_full_add,False,0.00560748,0.00560748,0.00186916,0.66666667
20251105,2025-11,601698,False,none,allowed_preheat_full_add,False,0.00933707,0.01260504,0.01633987,0.61702128
20251105,2025-11,688066,False,none,allowed_preheat_full_add,False,0.0,0.00861772,0.02033781,0.66071429
20251105,2025-11,688523,False,none,allowed_preheat_probe_add,False,-0.00193723,0.00774893,-0.00891127,0.5942029
20251105,2025-11,688568,False,none,allowed_preheat_probe_add,False,0.00153846,0.0025641,-0.00230769,0.57142857
20251106,2025-11,000738,False,none,allowed_preheat_full_add,False,0.01344086,0.01827957,0.02419355,0.82222222
20251106,2025-11,002085,False,none,allowed_preheat_probe_add,False,0.00119976,0.0,0.00719856,0.25
20251106,2025-11,002465,False,none,allowed_preheat_probe_add,False,0.00345722,-0.00172861,0.0008643,0.25
20251106,2025-11,003009,False,none,allowed_preheat_probe_add,False,0.01092073,0.0065901,-0.00112973,0.39325843
20251106,2025-11,300045,False,none,allowed_preheat_probe_add,False,0.00042265,-0.01352494,-0.00972105,0.01639344
20251106,2025-11,300342,False,none,allowed_preheat_probe_add,False,0.00540541,-0.00540541,-0.00216216,0.08
20251106,2025-11,600118,False,none,allowed_preheat_probe_add,False,0.00234467,-0.00046893,-0.00515826,0.2875
20251106,2025-11,600879,False,none,allowed_preheat_probe_add,False,0.00558659,0.00372439,0.00558659,0.7
20251106,2025-11,601698,False,none,allowed_preheat_probe_add,False,-0.00138058,-0.00552232,-0.00644271,0.29032258
20251106,2025-11,688066,False,none,allowed_preheat_probe_add,False,0.03438625,0.03158737,0.00119952,0.56962025
20251106,2025-11,688523,False,none,allowed_preheat_probe_add,False,0.01027668,-0.0055336,-0.0055336,0.07017544
20251106,2025-11,688568,False,none,allowed_preheat_full_add,False,0.01056973,0.00799175,0.01031194,0.64583333
20251107,2025-11,000738,False,none,allowed_preheat_probe_add,False,-0.0037037,-0.0026455,-0.0021164,0.45454545
20251107,2025-11,002085,False,none,allowed_preheat_probe_add,False,-0.00535714,-0.00654762,-0.00595238,0.3125
20251107,2025-11,002465,False,none,allowed_preheat_probe_add,False,-0.00693842,-0.00173461,0.00433651,0.72727273
20251107,2025-11,003009,False,none,allowed_preheat_full_add,False,0.0028924,0.01156961,0.0187042,1.0
20251107,2025-11,300045,False,none,allowed_preheat_probe_add,False,-0.01141167,0.00126796,0.00760778,0.79591837
20251107,2025-11,300342,False,none,allowed_preheat_probe_add,False,-0.00590763,0.00429646,0.01342642,0.81081081
20251107,2025-11,600118,False,none,allowed_preheat_probe_add,False,-0.0027907,0.00162791,0.01976744,0.6
20251107,2025-11,600879,False,none,allowed_preheat_probe_add,False,-0.00740056,-0.00555042,-0.00277521,0.45454545
20251107,2025-11,601698,False,none,allowed_preheat_probe_add,False,-0.00879223,-0.00416474,0.01480796,0.60869565
20251107,2025-11,688523,False,none,allowed_preheat_probe_add,False,-0.01471173,-0.00198807,0.02823062,0.87272727
20251107,2025-11,688568,False,none,allowed_preheat_probe_add,False,-0.00792839,0.00153453,0.0028133,0.87272727
20251110,2025-11,000738,False,none,allowed_preheat_probe_add,False,-0.0005291,-0.0015873,-0.0031746,0.3
20251110,2025-11,002085,False,none,allowed_preheat_full_add,False,0.00600601,0.00540541,0.0012012,0.75
20251110,2025-11,002465,False,none,allowed_preheat_probe_add,False,0.02288136,0.01186441,0.00169492,0.51851852
20251110,2025-11,003009,False,none,allowed_preheat_probe_add,False,0.02118003,0.00832073,-0.00056732,0.33587786
20251110,2025-11,300045,False,none,allowed_preheat_probe_add,False,0.00616016,0.00205339,-0.01437372,0.48717949
20251110,2025-11,300342,False,none,allowed_preheat_probe_add,False,0.00051073,-0.00766088,-0.01889683,0.3255814
20251110,2025-11,600118,False,none,allowed_preheat_probe_add,False,0.01024412,-0.0032694,-0.01482127,0.42211055
20251110,2025-11,600879,False,none,allowed_preheat_full_add,False,0.05485612,0.05485612,0.03147482,0.7625
20251110,2025-11,601698,False,none,allowed_preheat_probe_add,False,0.0070609,-0.00529568,-0.01147396,0.10526316
20251110,2025-11,688066,False,none,allowed_preheat_full_add,False,0.04580446,0.04503464,-0.00115473,0.60287081
20251110,2025-11,688568,False,none,allowed_preheat_full_add,False,0.03166987,0.03454894,0.01199616,0.85207101
20251111,2025-11,000738,False,none,allowed_preheat_probe_add,False,-0.00052715,-0.0010543,-0.00316289,0.2
20251111,2025-11,002085,False,none,allowed_preheat_full_add,False,0.00352941,0.01,0.01529412,0.82608696
20251111,2025-11,002465,False,none,allowed_preheat_probe_add,False,0.00681431,0.00170358,-0.00425894,0.16666667
20251111,2025-11,003009,False,none,allowed_preheat_probe_add,False,-0.00264951,-0.00813777,-0.03425435,0.21666667
20251111,2025-11,300045,False,none,allowed_preheat_probe_add,False,0.00294613,0.0016835,-0.0223064,0.41860465
20251111,2025-11,300342,False,none,allowed_preheat_probe_add,False,0.00526593,0.01000527,-0.00631912,0.54285714
